Model,Organization,Publication date,Confidence,Country,Confidence_level
GPT-5.5 Pro,OpenAI,2026-04-23,Likely,United States of America,4
GPT-5.5,OpenAI,2026-04-23,Likely,United States of America,4
GPT Image 2,OpenAI,2026-04-21,Likely,United States of America,4
Kimi K2.6,Moonshot,2026-04-20,Confident,China,5
Claude Opus 4.7,Anthropic,2026-04-16,Likely,United States of America,4
Nemotron 3 Super,NVIDIA,2026-03-11,Likely,United States of America,4
GPT-5.4 Pro,OpenAI,2026-03-05,Likely,United States of America,4
GPT-5.4,OpenAI,2026-03-05,Likely,United States of America,4
Gemini 3.0 Flash-lite,Google DeepMind,2026-03-03,Likely,United States of America,4
SWE 1.6,Cognition,2026-03-01,Likely,United States of America,4
Qwen3.5-122B-A10B,Alibaba,2026-02-24,Likely,China,4
Gemini 3.1 Pro,Google DeepMind,2026-02-19,Likely,United States of America,4
Grok 4.20,xAI,2026-02-17,Likely,United States of America,4
GLM-5,Z.ai (Zhipu AI),2026-02-17,Likely,China,4
Qwen3.5 397B-A17B,Alibaba,2026-02-13,Likely,China,4
Seedance 2.0,ByteDance,2026-02-12,Likely,China,4
GPT-5.3 Codex,OpenAI,2026-02-05,Likely,United States of America,4
Qwen3-Coder-Next,Alibaba,2026-02-02,Likely,China,4
Kimi K2.5,Moonshot,2026-02-02,Likely,China,4
Qwen3-Max-Thinking,Alibaba,2026-01-25,Likely,China,4
"Solar Open 100B
",Upstage,2025-12-31,Confident,Korea (Republic of),5
K-EXAONE,LG AI Research,2025-12-31,Confident,Korea (Republic of),5
"VAETKI
",NC AI,2025-12-30,Confident,Korea (Republic of),5
A.X K1,SK Telecom,2025-12-30,Confident,Korea (Republic of),5
HyperCLOVA X SEED 32B Think,NAVER,2025-12-29,Confident,Korea (Republic of),5
MiniMax-M2.1,MiniMax,2025-12-23,Confident,China,5
GLM-4.7,Z.ai (Zhipu AI),2025-12-22,Likely,China,4
GPT-5.2 Codex,OpenAI,2025-12-18,Likely,United States of America,4
Nemotron 3-Nano-30B-A3B,NVIDIA,2025-12-15,Likely,United States of America,4
GPT-5.2 Pro,OpenAI,2025-12-11,Likely,United States of America,4
GPT-5.2,OpenAI,2025-12-11,Unknown,United States of America,0
SIMA 2,Google DeepMind,2025-12-04,Likely,United States of America,4
DeepSeekMath-V2,DeepSeek,2025-11-27,Confident,China,5
Claude Opus 4.5,Anthropic,2025-11-24,Unknown,United States of America,0
Olmo 3,Allen Institute for AI,2025-11-20,Confident,United States of America,5
Gemini 3 Pro Image (Nano Banana Pro),Google DeepMind,2025-11-20,Likely,United States of America,4
Grok 4.1 Fast,xAI,2025-11-19,Unknown,United States of America,0
GPT-5.1-Codex-Max,OpenAI,2025-11-19,Unknown,United States of America,0
Gemini 3 Pro,Google DeepMind,2025-11-18,Unknown,United States of America,0
π0.6 (pi-0.6),Physical Intelligence,2025-11-17,Likely,United States of America,4
P1-235B-A22B,Shanghai AI Lab,2025-11-17,Likely,China,4
Grok 4.1,xAI,2025-11-17,Unknown,United States of America,0
GPT-5.1 Instant,OpenAI,2025-11-13,Unknown,United States of America,0
GPT-5.1,OpenAI,2025-11-13,Unknown,United States of America,0
GPT-5.1-Codex,OpenAI,2025-11-12,Unknown,United States of America,0
Meta's Generative Ads Model (GEM),Meta AI,2025-11-10,Likely,United States of America,4
Kimi K2 Thinking,Moonshot,2025-11-06,Likely,China,4
Tongyi DeepResearch,Alibaba,2025-10-28,Confident,China,5
MiniMax-M2,MiniMax,2025-10-27,Confident,China,5
Veo 3.1,Google DeepMind,2025-10-15,Unknown,United States of America,0
Claude Haiku 4.5,Anthropic,2025-10-15,Unknown,United States of America,0
Ling-1T,Ant Group,2025-10-10,Confident,China,5
GPT-5 Pro,OpenAI,2025-10-07,Unknown,United States of America,0
Sora 2.0,OpenAI,2025-09-30,Unknown,United States of America,0
GLM-4.6,"Z.ai (Zhipu AI),Tsinghua University",2025-09-30,Likely,Group of Countries,4
